Compound,Functional Group,Molecular Weight (g/mol),log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
5,0,214.1,1.43,960.0,0.03,0.03,1.0
5,0,214.1,1.43,960.0,0.009,0.02,2.22
5,0,214.1,1.43,960.0,0.006,0.01,1.67
5,0,214.1,1.43,960.0,0.006,0.01,1.67
5,0,214.1,1.43,960.0,0.004,0.01,2.5
15,0,264.1,1.35,960.0,0.019,0.009,0.47
15,0,264.1,1.35,960.0,0.007,0.01,1.43
15,0,264.1,1.35,960.0,0.004,0.003,0.75
15,0,264.1,1.35,960.0,0.002,0.003,1.5
15,0,264.1,1.35,960.0,0.002,0.003,1.5
10,0,314.1,2.85,960.0,0.14,0.04,0.29
10,0,314.1,2.85,960.0,0.01,0.002,0.2
10,0,314.1,2.85,960.0,0.003,0.001,0.33
10,0,314.1,2.85,960.0,0.002,0.001,0.5
10,0,314.1,2.85,960.0,0.002,0.001,0.5
9,0,364.1,2.05,960.0,0.24,0.043,0.18
9,0,364.1,2.05,960.0,0.01,0.002,0.2
9,0,364.1,2.05,960.0,0.004,0.0009,0.225
9,0,364.1,2.05,960.0,0.003,0.001,0.33
9,0,364.1,2.05,960.0,0.002,0.0009,0.45
13,0,414.1,3.1,960.0,0.31,0.024,0.077
13,0,414.1,3.1,960.0,0.04,0.002,0.05
13,0,414.1,3.1,960.0,0.01,0.001,0.1
13,0,414.1,3.1,960.0,0.01,0.0015,0.15
13,0,414.1,3.1,960.0,0.005,0.0015,0.3
12,0,414.07,3.54,960.0,0.43,0.03,0.07
12,0,414.07,3.54,960.0,0.11,0.004,0.04
12,0,414.07,3.54,960.0,0.06,0.002,0.033
12,0,414.07,3.54,960.0,0.06,0.002,0.033
12,0,414.07,3.54,960.0,0.02,0.0023,2.0
7,0,464.08,4.15,960.0,3.24,0.18,0.06
7,0,464.08,4.15,960.0,0.36,0.01,0.03
7,0,464.08,4.15,960.0,0.13,0.02,0.15
7,0,464.08,4.15,960.0,0.26,0.016,0.062
7,0,464.08,4.15,960.0,0.07,0.04,0.571
18,0,564.09,4.0,960.0,2.94,0.17,0.06
18,0,564.09,4.0,960.0,0.96,0.016,0.02
18,0,564.09,4.0,960.0,0.31,0.003,0.0097
18,0,564.09,4.0,960.0,0.8,0.006,0.0075
18,0,564.09,4.0,960.0,0.2,0.003,0.015
8,0,614.1,8.76,960.0,2.29,0.08,0.03
8,0,614.1,8.76,960.0,1.19,0.014,0.01
8,0,614.1,8.76,960.0,0.31,0.0017,0.005
8,0,614.1,8.76,960.0,0.43,0.004,0.009
8,0,614.1,8.76,960.0,0.03,0.001,0.033
17,0,664.1,8.76,960.0,1.29,0.112,0.09
17,0,664.1,8.76,960.0,0.71,0.015,0.021
17,0,664.1,8.76,960.0,0.23,0.003,0.013
17,0,664.1,8.76,960.0,0.35,0.002,0.0057
17,0,664.1,8.76,960.0,0.03,0.0004,0.013
